method,trial,metric_error,best_so_far,wall_time_s,params
gravity,0,0.23596437730187997,0.23596437730187997,7.498743057250977,"{""extra_trees"": false, ""feature_fraction"": 0.8692891674401906, ""lambda_l2"": 0.002882185851410413, ""learning_rate"": 0.0012424568294055701, ""min_data_in_leaf"": 92, ""num_leaves"": 8}"
optuna,0,0.1434683952305476,0.1434683952305476,1.7844915390014648,"{""extra_trees"": false, ""feature_fraction"": 0.7219343632501507, ""lambda_l2"": 6.499698237449666e-05, ""learning_rate"": 0.018316240381848904, ""min_data_in_leaf"": 57, ""num_leaves"": 184}"
