dataset,seed,gravity,optuna,winner
anneal,0,0.23596437730187997,0.1434683952305476,optuna
anneal,1,0.1764207457240727,0.13623938794609444,optuna
credit-g,0,0.22517094017094008,0.23692307692307701,gravity
credit-g,1,0.23581196581196584,0.2537179487179487,gravity
