method,trial,metric_error,best_so_far,wall_time_s,dataset,seed,params
gravity,0,0.23596437730187997,0.23596437730187997,7.62787938117981,anneal,0,"{""extra_trees"": false, ""feature_fraction"": 0.8692891674401906, ""lambda_l2"": 0.002882185851410413, ""learning_rate"": 0.0012424568294055701, ""min_data_in_leaf"": 92, ""num_leaves"": 8}"
optuna,0,0.1434683952305476,0.1434683952305476,1.8454816341400146,anneal,0,"{""extra_trees"": false, ""feature_fraction"": 0.7219343632501507, ""lambda_l2"": 6.499698237449666e-05, ""learning_rate"": 0.018316240381848904, ""min_data_in_leaf"": 57, ""num_leaves"": 184}"
gravity,0,0.1764207457240727,0.1764207457240727,1.4783198833465576,anneal,1,"{""extra_trees"": false, ""feature_fraction"": 0.5963285142808029, ""lambda_l2"": 4.8171728206668485e-05, ""learning_rate"": 0.15235995412792278, ""min_data_in_leaf"": 84, ""num_leaves"": 83}"
optuna,0,0.13623938794609444,0.13623938794609444,7.921152830123901,anneal,1,"{""extra_trees"": true, ""feature_fraction"": 0.3000800623721414, ""lambda_l2"": 2.0931628460945333e-07, ""learning_rate"": 0.009111295702454765, ""min_data_in_leaf"": 34, ""num_leaves"": 186}"
gravity,0,0.22517094017094008,0.22517094017094008,5.1865785121917725,credit-g,0,"{""extra_trees"": false, ""feature_fraction"": 0.8692891674401906, ""lambda_l2"": 0.002882185851410413, ""learning_rate"": 0.0012424568294055701, ""min_data_in_leaf"": 92, ""num_leaves"": 8}"
optuna,0,0.23692307692307701,0.23692307692307701,1.0808966159820557,credit-g,0,"{""extra_trees"": false, ""feature_fraction"": 0.7219343632501507, ""lambda_l2"": 6.499698237449666e-05, ""learning_rate"": 0.018316240381848904, ""min_data_in_leaf"": 57, ""num_leaves"": 184}"
gravity,0,0.23581196581196584,0.23581196581196584,0.9269518852233887,credit-g,1,"{""extra_trees"": false, ""feature_fraction"": 0.5963285142808029, ""lambda_l2"": 4.8171728206668485e-05, ""learning_rate"": 0.15235995412792278, ""min_data_in_leaf"": 84, ""num_leaves"": 83}"
optuna,0,0.2537179487179487,0.2537179487179487,1.4194862842559814,credit-g,1,"{""extra_trees"": true, ""feature_fraction"": 0.3000800623721414, ""lambda_l2"": 2.0931628460945333e-07, ""learning_rate"": 0.009111295702454765, ""min_data_in_leaf"": 34, ""num_leaves"": 186}"
