task,dim,budget,seed,variant,final_best,auc_best,regret,runtime_s,n_leaves,global_coherence,potential_std,coherence_std,potential_scale
Rastrigin,20,500,2,none,157.38688810543044,181.85216839107707,157.38688810543044,1.2350474890008627,6.0,,,,
Rastrigin,20,500,2,coherence,164.06342820402045,181.64814714967983,164.06342820402045,1.1574196659985319,6.0,0.4544243942991201,0.32054695951938034,0.044281601961742204,0.0
Rastrigin,20,500,2,potential,157.38688810543044,181.85216839107707,157.38688810543044,1.1447372490001726,6.0,0.45470148164823065,0.30044256379476075,0.03321400053816178,0.0
Rastrigin,20,500,2,both,164.06342820402045,181.64814714967983,164.06342820402045,1.246331143000134,6.0,0.4544243942991201,0.32054695951938034,0.044281601961742204,0.0
Rastrigin,20,500,3,none,164.2953443654619,187.13275324488362,164.2953443654619,1.0235898379996797,6.0,,,,
Rastrigin,20,500,3,coherence,164.2953443654619,187.13275324488362,164.2953443654619,1.1496628499990038,6.0,0.4660415445261078,0.35960185182476695,0.05149054420018848,0.0
Rastrigin,20,500,3,potential,164.2953443654619,187.13275324488362,164.2953443654619,1.0535333340012585,6.0,0.4820467989420079,0.3377918378074622,0.053391124404953146,0.0
Rastrigin,20,500,3,both,164.2953443654619,187.13275324488362,164.2953443654619,1.0398160940003436,6.0,0.4660415445261078,0.35960185182476695,0.05149054420018848,0.0
Rastrigin,20,500,4,none,142.67625302317984,170.17760289559163,142.67625302317984,1.1130658330002916,5.0,,,,
Rastrigin,20,500,4,coherence,142.67625302317984,170.17760289559163,142.67625302317984,1.1543727600001148,5.0,0.47278977760293117,0.3433688170193985,0.026881018377161572,0.0
Rastrigin,20,500,4,potential,142.67625302317984,170.17760289559163,142.67625302317984,1.1478600399987045,5.0,0.4480117625921025,0.37408188054310526,0.033021228334082525,0.0
Rastrigin,20,500,4,both,142.67625302317984,170.17760289559163,142.67625302317984,1.1363943169999402,5.0,0.47278977760293117,0.3433688170193985,0.026881018377161572,0.0
Rastrigin,20,500,5,none,171.59781605184875,187.09374838982424,171.59781605184875,1.2291579689990613,6.0,,,,
Rastrigin,20,500,5,coherence,171.59781605184875,187.09374838982424,171.59781605184875,1.140320521999456,6.0,0.45393365856047013,0.366438187441659,0.03118522600183033,0.0
Rastrigin,20,500,5,potential,171.59781605184875,187.09374838982424,171.59781605184875,1.1954882780009939,6.0,0.45393365856047013,0.366438187441659,0.03118522600183033,0.0
Rastrigin,20,500,5,both,171.59781605184875,187.09374838982424,171.59781605184875,1.1623054230003618,6.0,0.45393365856047013,0.366438187441659,0.03118522600183033,0.0
Rastrigin,20,500,6,none,122.13956892483255,169.34293898458682,122.13956892483255,1.1787043340009404,6.0,,,,
Rastrigin,20,500,6,coherence,122.13956892483255,169.34293898458682,122.13956892483255,1.2525781389995245,6.0,0.47250702274829576,0.3059048128881956,0.03893835329564173,0.0
Rastrigin,20,500,6,potential,122.13956892483255,169.34293898458682,122.13956892483255,1.1619458530003612,6.0,0.47250702274829576,0.3059048128881956,0.03893835329564173,0.0
Rastrigin,20,500,6,both,122.13956892483255,169.34293898458682,122.13956892483255,1.2096850119996816,6.0,0.47250702274829576,0.3059048128881956,0.03893835329564173,0.0
Rastrigin,20,500,7,none,155.76675029859706,181.84898799497793,155.76675029859706,1.184445868999319,6.0,,,,
Rastrigin,20,500,7,coherence,157.58843003526846,181.85627471392462,157.58843003526846,1.1122029539983487,6.0,0.5166047245542023,0.3071734358628916,0.039705584470769585,0.05529373276549351
Rastrigin,20,500,7,potential,155.76675029859706,181.84898799497793,155.76675029859706,1.1103836900001625,6.0,0.5204614576496112,0.3062823072714346,0.04074925989948781,0.06813665397320516
Rastrigin,20,500,7,both,157.58843003526846,181.85627471392462,157.58843003526846,1.1950207219997537,6.0,0.5166047245542023,0.3071734358628916,0.039705584470769585,0.05529373276549351
Rosenbrock,20,500,0,none,36537.581923970676,174569.27068399827,36537.581923970676,1.1292426710006112,6.0,,,,
Rosenbrock,20,500,0,coherence,36537.581923970676,174569.27068399827,36537.581923970676,1.1207583350005734,6.0,0.5196618655199311,0.294991420538082,0.07433437716989436,0.06547401218137056
Rosenbrock,20,500,0,potential,36537.581923970676,174569.27068399827,36537.581923970676,1.1858308229984686,6.0,0.5196618655199311,0.294991420538082,0.07433437716989436,0.06547401218137056
Rosenbrock,20,500,0,both,36537.581923970676,174569.27068399827,36537.581923970676,1.1090667659991595,6.0,0.5196618655199311,0.294991420538082,0.07433437716989436,0.06547401218137056
Rosenbrock,20,500,1,none,7707.311063211135,105765.2080516431,7707.311063211135,1.25372507999964,6.0,,,,
Rosenbrock,20,500,1,coherence,7707.311063211135,105765.2080516431,7707.311063211135,2.207392621001418,6.0,0.5310029165345604,0.35467577498389735,0.032912695275663366,0.10323971206008628
Rosenbrock,20,500,1,potential,7707.311063211135,105765.2080516431,7707.311063211135,1.204191228000127,6.0,0.5315002748541623,0.3631356634929586,0.036928549191435685,0.10489591526436043
Rosenbrock,20,500,1,both,7707.311063211135,105765.2080516431,7707.311063211135,1.2180660069989244,6.0,0.5310029165345604,0.35467577498389735,0.032912695275663366,0.10323971206008628
Rosenbrock,20,500,2,none,9400.5320458902,69597.22888433041,9400.5320458902,1.1589841240001988,6.0,,,,
Rosenbrock,20,500,2,coherence,3830.8573752135107,69381.95851641145,3830.8573752135107,1.17871833999925,6.0,0.5617991806314133,0.3416876659229575,0.028912657774023742,0.20579127150260637
Rosenbrock,20,500,2,potential,3830.8573752135107,69381.95851641145,3830.8573752135107,1.165563815000496,6.0,0.5617991806314133,0.3416876659229575,0.028912657774023742,0.20579127150260637
Rosenbrock,20,500,2,both,3830.8573752135107,69381.95851641145,3830.8573752135107,1.1929285539990815,6.0,0.5617991806314133,0.3416876659229575,0.028912657774023742,0.20579127150260637
Rosenbrock,20,500,3,none,10469.029161754333,71108.82586953619,10469.029161754333,1.1379425799987075,5.0,,,,
Rosenbrock,20,500,3,coherence,9221.196765410075,70985.69241075816,9221.196765410075,1.2065064250000432,6.0,0.5633681388858296,0.36353937733881486,0.0547831864304145,0.21101590248981256
Rosenbrock,20,500,3,potential,10469.029161754333,71108.82586953619,10469.029161754333,1.110340057999565,5.0,0.534710513593769,0.3996099968136187,0.022313625487538423,0.1155860102672507
Rosenbrock,20,500,3,both,9221.196765410075,70985.69241075816,9221.196765410075,1.1053980460001185,6.0,0.5633681388858296,0.36353937733881486,0.0547831864304145,0.21101590248981256
Rosenbrock,20,500,4,none,10015.20386810021,96573.4987787408,10015.20386810021,1.1608694269998523,6.0,,,,
Rosenbrock,20,500,4,coherence,13376.145620370875,96708.81792052583,13376.145620370875,1.1583977919999597,6.0,0.5264873106924807,0.40060960195749307,0.04025053920286921,0.08820274460596063
Rosenbrock,20,500,4,potential,10015.20386810021,96573.4987787408,10015.20386810021,1.148964760999661,6.0,0.4687868864840214,0.2922969832961143,0.026924903623630345,0.0
Rosenbrock,20,500,4,both,13376.145620370875,96708.81792052583,13376.145620370875,1.0827149899996584,6.0,0.5264873106924807,0.40060960195749307,0.04025053920286921,0.08820274460596063
Rosenbrock,20,500,5,none,43736.58184710206,182463.41491253863,43736.58184710206,1.2246997330003069,6.0,,,,
Rosenbrock,20,500,5,coherence,43736.58184710206,182463.41491253863,43736.58184710206,1.1071793530009018,6.0,0.486176818804432,0.35463136469264805,0.03721449688538785,0.0
Rosenbrock,20,500,5,potential,43736.58184710206,182463.41491253863,43736.58184710206,1.2290887109993491,6.0,0.486176818804432,0.35463136469264805,0.03721449688538785,0.0
Rosenbrock,20,500,5,both,43736.58184710206,182463.41491253863,43736.58184710206,1.1716960350004229,6.0,0.486176818804432,0.35463136469264805,0.03721449688538785,0.0
Rosenbrock,20,500,6,none,5221.36564606766,158280.46971872475,5221.36564606766,1.1977765930005262,5.0,,,,
Rosenbrock,20,500,6,coherence,5221.36564606766,158280.46971872475,5221.36564606766,1.224287105998883,5.0,0.519363044621621,0.3632332780229232,0.03467224745279257,0.06447893858999784
Rosenbrock,20,500,6,potential,5221.36564606766,158280.46971872475,5221.36564606766,1.1689161069989495,5.0,0.519363044621621,0.3632332780229232,0.03467224745279257,0.06447893858999784
Rosenbrock,20,500,6,both,5221.36564606766,158280.46971872475,5221.36564606766,1.1374900770006207,5.0,0.519363044621621,0.3632332780229232,0.03467224745279257,0.06447893858999784
Rosenbrock,20,500,7,none,15250.659968721162,104545.15205349754,15250.659968721162,1.0951409549998061,6.0,,,,
Rosenbrock,20,500,7,coherence,15250.659968721162,104545.15205349754,15250.659968721162,1.1148671099999774,6.0,0.5414549618240347,0.37835445158486253,0.03059196692889054,0.1380450228740357
Rosenbrock,20,500,7,potential,15250.659968721162,104545.15205349754,15250.659968721162,1.1817750640002487,6.0,0.5414549618240347,0.37835445158486253,0.03059196692889054,0.1380450228740357
Rosenbrock,20,500,7,both,15250.659968721162,104545.15205349754,15250.659968721162,1.1232729889998154,6.0,0.5414549618240347,0.37835445158486253,0.03059196692889054,0.1380450228740357
