task,dim,budget,seed,variant,final_best,auc_best,regret,runtime_s,n_leaves,global_coherence,potential_std,coherence_std,potential_scale
Sphere,2,200,3,both,0.000543135237681768,0.3586444850675021,0.000543135237681768,0.14552267299950472,25.0,0.6787343806043946,0.23459745074671903,0.16260673686028196,0.5951854874126341
Sphere,2,200,4,none,2.0159244159128535e-05,0.2105478543400474,2.0159244159128535e-05,0.08674708400030795,23.0,,,,
Sphere,2,200,4,coherence,0.00223892006259654,0.2101862541853681,0.00223892006259654,0.14244811100070365,24.0,0.6727793897641159,0.2184297477862476,0.1422631076845355,0.5753553679145059
Sphere,2,200,4,potential,5.590695353788255e-05,0.20904363395445982,5.590695353788255e-05,0.16563803799908783,24.0,0.6363080828782833,0.2316665627804648,0.1485078339764483,0.4539059159846835
Sphere,2,200,4,both,0.0005864031600312435,0.20995490181900897,0.0005864031600312435,0.15567559100054496,24.0,0.6973772253970629,0.23596694362416779,0.155804483277711,0.6572661605722195
Sphere,2,200,5,none,0.001621918607856765,0.4326684198535931,0.001621918607856765,0.0961704519995692,23.0,,,,
Sphere,2,200,5,coherence,0.018225952550334355,0.4609096828190515,0.018225952550334355,0.14443744299933314,22.0,0.7709820087826783,0.22001899768875402,0.14390190510683368,0.9023700892463188
Sphere,2,200,5,potential,0.007930553793672785,0.44973949968821136,0.007930553793672785,0.1520666699998401,24.0,0.7602874560671735,0.21087188732610102,0.1301979299025391,0.8667572287036879
Sphere,2,200,5,both,0.003915052315628768,0.4537307326600299,0.003915052315628768,0.14056998700107215,23.0,0.7203311213144538,0.2307185221292228,0.13283307514999845,0.733702633977131
Sphere,2,200,6,none,0.0038234806345642477,0.2337390685664836,0.0038234806345642477,0.09517774599953555,20.0,,,,
Sphere,2,200,6,coherence,0.02926800643723472,0.25392514922637643,0.02926800643723472,0.1563709910005855,24.0,0.692546129040752,0.20980751256461164,0.18223793697370982,0.6411786097057041
Sphere,2,200,6,potential,0.016326558829492296,0.24070878939891624,0.016326558829492296,0.16271065000000817,22.0,0.7294377190638615,0.24054932441229152,0.1421129121781006,0.7640276044826587
Sphere,2,200,6,both,0.0016842462191934142,0.25325119583876615,0.0016842462191934142,0.13839601000108814,23.0,0.7214181611789643,0.22922697400744205,0.10787407538096189,0.7373224767259511
Sphere,2,200,7,none,0.022183837078502414,0.372644251995183,0.022183837078502414,0.09379239800000505,29.0,,,,
Sphere,2,200,7,coherence,0.01394059687155852,0.37190222432070896,0.01394059687155852,0.14769897500082152,26.0,0.7256156100205291,0.20695388200187348,0.1596169921898576,0.751299981368362
Sphere,2,200,7,potential,0.001136217983322308,0.3714793541482929,0.001136217983322308,0.14652272899911623,24.0,0.7223270995822751,0.23873662213240032,0.13411972253199042,0.7403492416089762
Sphere,2,200,7,both,0.022179310722550267,0.3726367242489504,0.022179310722550267,0.14530917099909857,24.0,0.7383430689551296,0.2158252122608802,0.12446206580942151,0.7936824196205815
Sphere,2,200,8,none,0.0065028653900770315,0.7325262051348753,0.0065028653900770315,0.09886123199976282,22.0,,,,
Sphere,2,200,8,coherence,0.008070643433345223,0.7270389660568436,0.008070643433345223,0.14150676800090878,21.0,0.801527492134066,0.22766243581289689,0.1788702679354505,1.0
Sphere,2,200,8,potential,0.0016896474787409382,0.7255715486296304,0.0016896474787409382,0.13792513800035522,21.0,0.7752099213579038,0.24716694053023555,0.1060248128542619,0.9164490381218197
Sphere,2,200,8,both,0.00812822572290751,0.7355620186284141,0.00812822572290751,0.14103374099977373,23.0,0.7617165698586145,0.24355774871944005,0.17101375415037734,0.8715161776291862
Sphere,2,200,9,none,0.007999153300864427,0.6063461841647023,0.007999153300864427,0.09392231600031664,22.0,,,,
Sphere,2,200,9,coherence,0.05005863271797339,0.700044247365262,0.05005863271797339,0.13886201000059373,22.0,0.7245163604751903,0.21052107735474734,0.130580688957827,0.7476394803823837
Sphere,2,200,9,potential,0.0048157489248112145,0.608353573593871,0.0048157489248112145,0.13947199500034912,23.0,0.7501246154674835,0.23217062954367618,0.1379042841322535,0.8329149695067203
Sphere,2,200,9,both,0.01970096556736032,0.6527041229998527,0.01970096556736032,0.1452767690007022,24.0,0.7707764970865363,0.2023809356591409,0.14057201184552964,0.9016857352981659
Sphere,2,200,10,none,0.007271317258418637,1.0601548844156858,0.007271317258418637,0.0924412129988923,20.0,,,,
Sphere,2,200,10,coherence,0.008795441566805264,1.0560948547611664,0.008795441566805264,0.12668961900089926,20.0,0.7130391082845913,0.27300735716005037,0.1488415239551041,0.709420230587689
Sphere,2,200,10,potential,0.0007328485210422379,1.053598485492473,0.0007328485210422379,0.1379697499996837,21.0,0.7366392709192336,0.2289230133840549,0.11770533182111229,0.788008772161048
Sphere,2,200,10,both,0.0011333052998493294,1.054792291595784,0.0011333052998493294,0.15486383600000408,24.0,0.7692807294735919,0.2489783499494726,0.12539243074995143,0.8967048291470612
Sphere,2,200,11,none,0.0008250182175354129,0.07588043274461181,0.0008250182175354129,0.11552854500041576,25.0,,,,
Sphere,2,200,11,coherence,0.0003109228959415188,0.07672234278956508,0.0003109228959415188,0.15177694399972097,23.0,0.6106271338335536,0.22375448514445087,0.15610902115533287,0.3683883556657335
Sphere,2,200,11,potential,0.0010434219564597618,0.07597653038973852,0.0010434219564597618,0.15145332499923825,25.0,0.6771560071840446,0.21017639995691814,0.16394429025034904,0.5899295039228684
Sphere,2,200,11,both,0.0013064029186909652,0.07653215826562812,0.0013064029186909652,0.13785444399945845,22.0,0.6784206074311099,0.2116382028817642,0.13748252217331577,0.5941406227455959
Sphere,2,200,12,none,0.012802842602724523,0.8500659675117739,0.012802842602724523,0.09323716700055229,23.0,,,,
Sphere,2,200,12,coherence,0.009301261388720138,0.8574130140849263,0.009301261388720138,0.13598126900069474,22.0,0.6739658345202596,0.22170785325328227,0.15104123028308475,0.5793062289524645
Sphere,2,200,12,potential,0.004604926204957318,0.849702473256069,0.004604926204957318,0.14369367100152886,23.0,0.6864278510198452,0.21886637702683356,0.1347090008667507,0.6208047438960844
Sphere,2,200,12,both,0.00815157870646107,0.8574441099089785,0.00815157870646107,0.14012146099958045,24.0,0.7548602491399306,0.22835135292596476,0.1279222422062657,0.8486846296359688
Sphere,2,200,13,none,0.01992452305125636,0.9870312611275103,0.01992452305125636,0.09744897299970035,23.0,,,,
Sphere,2,200,13,coherence,0.023097621887875654,1.0176149883888321,0.023097621887875654,0.12756636799895205,21.0,0.7305820267960799,0.26447604200829383,0.10135263805872755,0.767838149230946
Sphere,2,200,13,potential,0.005567843743346078,1.0034693734470748,0.005567843743346078,0.14444769200053997,21.0,0.7486964987123514,0.2612357752985894,0.12780077518379063,0.8281593407121304
Sphere,2,200,13,both,0.028411774157671987,1.0192513396271388,0.028411774157671987,0.15164779699989595,22.0,0.7514404886713966,0.209887076972829,0.11388032704912206,0.8372968272757506
Sphere,2,200,14,none,0.04174777738941715,0.2904278641618099,0.04174777738941715,0.09989905000111321,22.0,,,,
Sphere,2,200,14,coherence,0.012489060004564425,0.27188718637979586,0.012489060004564425,0.14592359499874874,21.0,0.7180489260133305,0.20999277012410797,0.12605236663642663,0.7261029236243906
Sphere,2,200,14,potential,0.03009278452557652,0.3189528221339841,0.03009278452557652,0.13812834999953338,22.0,0.7779755072249425,0.2276291452819395,0.12442257456809594,0.9256584390590584
Sphere,2,200,14,both,0.010040839585601887,0.24651959351097105,0.010040839585601887,0.1573750370007474,20.0,0.7262779948023556,0.24323014520088557,0.13625724142382686,0.753505722691844
Sphere,2,200,15,none,0.0035923715048547093,0.35690871892603854,0.0035923715048547093,0.09682873800011293,22.0,,,,
Sphere,2,200,15,coherence,0.012065493758962428,0.3816669744081792,0.012065493758962428,0.12030796299950453,19.0,0.721946580876078,0.23724078497533313,0.13841499041173105,0.7390821143173397
Sphere,2,200,15,potential,0.0026822393184932633,0.3608272934118277,0.0026822393184932633,0.1392863139990368,21.0,0.7439177594855311,0.2675315269476363,0.13534270627103354,0.8122461390868185
Sphere,2,200,15,both,0.038901492839017,0.38695122006690924,0.038901492839017,0.13665911600037361,21.0,0.7532634896425914,0.2641868586794325,0.12132441597199177,0.8433674205098293
Sphere,2,200,16,none,0.0025245680475219833,0.8748410965139085,0.0025245680475219833,0.09624180500031798,22.0,,,,
Sphere,2,200,16,coherence,0.0054899020101574205,1.063096913013325,0.0054899020101574205,0.13075606699931086,22.0,0.7552275380080236,0.2411630594376788,0.14377000429772357,0.8499077015667185
Sphere,2,200,16,potential,0.0036455191680256818,0.8727409312951937,0.0036455191680256818,0.14375247300085903,21.0,0.7412807823037934,0.2296482065421007,0.12235063523419908,0.8034650050716319
Sphere,2,200,16,both,0.015109526798683137,1.0437215811667342,0.015109526798683137,0.13643726500049524,22.0,0.7456748194072095,0.2105768344918524,0.16099156768329023,0.8180971486260076
