FIT_QUALITY | Depth=2 | N_pts=15 | R2=0.4001 | NoiseVar=1.77e-04
FIT_QUALITY | Depth=2 | N_pts=15 | R2=0.7250 | NoiseVar=6.79e-04
FIT_QUALITY | Depth=2 | N_pts=15 | R2=0.3147 | NoiseVar=2.19e-03
FIT_QUALITY | Depth=2 | N_pts=15 | R2=0.7130 | NoiseVar=7.16e-04
FIT_QUALITY | Depth=2 | N_pts=15 | R2=0.7130 | NoiseVar=7.16e-04
FIT_QUALITY | Depth=2 | N_pts=15 | R2=0.3147 | NoiseVar=2.19e-03
FIT_QUALITY | Depth=2 | N_pts=15 | R2=0.4001 | NoiseVar=1.77e-04
FIT_QUALITY | Depth=2 | N_pts=15 | R2=0.7052 | NoiseVar=1.85e-03
FIT_QUALITY | Depth=2 | N_pts=15 | R2=0.6965 | NoiseVar=7.57e-04
FIT_QUALITY | Depth=2 | N_pts=15 | R2=0.4091 | NoiseVar=1.73e-04
FIT_QUALITY | Depth=2 | N_pts=15 | R2=0.7223 | NoiseVar=1.73e-03
FIT_QUALITY | Depth=2 | N_pts=16 | R2=0.3031 | NoiseVar=2.14e-03
FIT_QUALITY | Depth=2 | N_pts=17 | R2=0.2875 | NoiseVar=2.11e-03
FIT_QUALITY | Depth=2 | N_pts=15 | R2=0.6965 | NoiseVar=7.57e-04
FIT_QUALITY | Depth=2 | N_pts=17 | R2=0.2875 | NoiseVar=2.11e-03
FIT_QUALITY | Depth=2 | N_pts=15 | R2=0.4091 | NoiseVar=1.73e-04
FIT_QUALITY | Depth=2 | N_pts=15 | R2=0.7223 | NoiseVar=1.73e-03
FIT_QUALITY | Depth=2 | N_pts=16 | R2=0.3651 | NoiseVar=1.75e-04
FIT_QUALITY | Depth=2 | N_pts=15 | R2=0.6633 | NoiseVar=8.54e-04
FIT_QUALITY | Depth=2 | N_pts=15 | R2=0.5997 | NoiseVar=8.52e-04
FIT_QUALITY | Depth=2 | N_pts=16 | R2=0.7052 | NoiseVar=1.75e-03
FIT_QUALITY | Depth=2 | N_pts=17 | R2=0.3481 | NoiseVar=1.66e-04
FIT_QUALITY | Depth=2 | N_pts=15 | R2=0.5997 | NoiseVar=8.52e-04
FIT_QUALITY | Depth=2 | N_pts=17 | R2=0.2875 | NoiseVar=2.11e-03
FIT_QUALITY | Depth=2 | N_pts=17 | R2=0.3481 | NoiseVar=1.66e-04
FIT_QUALITY | Depth=2 | N_pts=16 | R2=0.7052 | NoiseVar=1.75e-03
FIT_QUALITY | Depth=2 | N_pts=17 | R2=0.6616 | NoiseVar=1.94e-03
FIT_QUALITY | Depth=2 | N_pts=18 | R2=0.6432 | NoiseVar=1.96e-03
