QUADRATIC FIT | N_pts=30 | Dim=5 | Cond=5.20e+01 | CoeffNorm=0.29 | NoiseVar=8.79e-04 | Y_range=1.65e-01
QUADRATIC FIT | N_pts=31 | Dim=5 | Cond=5.43e+01 | CoeffNorm=0.29 | NoiseVar=8.52e-04 | Y_range=1.65e-01
QUADRATIC FIT | N_pts=32 | Dim=5 | Cond=5.38e+01 | CoeffNorm=0.29 | NoiseVar=8.33e-04 | Y_range=1.65e-01
QUADRATIC FIT | N_pts=26 | Dim=5 | Cond=3.82e+01 | CoeffNorm=0.04 | NoiseVar=1.46e-05 | Y_range=3.64e-02
QUADRATIC FIT | N_pts=27 | Dim=5 | Cond=4.06e+01 | CoeffNorm=0.04 | NoiseVar=1.44e-05 | Y_range=3.64e-02
QUADRATIC FIT | N_pts=32 | Dim=5 | Cond=5.38e+01 | CoeffNorm=0.29 | NoiseVar=8.33e-04 | Y_range=1.65e-01
QUADRATIC FIT | N_pts=27 | Dim=5 | Cond=4.06e+01 | CoeffNorm=0.04 | NoiseVar=1.44e-05 | Y_range=3.64e-02
QUADRATIC FIT | N_pts=28 | Dim=5 | Cond=3.99e+01 | CoeffNorm=0.04 | NoiseVar=1.45e-05 | Y_range=3.64e-02
QUADRATIC FIT | N_pts=32 | Dim=5 | Cond=5.38e+01 | CoeffNorm=0.29 | NoiseVar=8.33e-04 | Y_range=1.65e-01
QUADRATIC FIT | N_pts=28 | Dim=5 | Cond=3.99e+01 | CoeffNorm=0.04 | NoiseVar=1.45e-05 | Y_range=3.64e-02
QUADRATIC FIT | N_pts=29 | Dim=5 | Cond=4.08e+01 | CoeffNorm=0.04 | NoiseVar=1.52e-05 | Y_range=3.64e-02
QUADRATIC FIT | N_pts=33 | Dim=5 | Cond=5.55e+01 | CoeffNorm=0.29 | NoiseVar=8.14e-04 | Y_range=1.65e-01
QUADRATIC FIT | N_pts=33 | Dim=5 | Cond=5.55e+01 | CoeffNorm=0.29 | NoiseVar=8.14e-04 | Y_range=1.65e-01
QUADRATIC FIT | N_pts=29 | Dim=5 | Cond=4.08e+01 | CoeffNorm=0.04 | NoiseVar=1.52e-05 | Y_range=3.64e-02
QUADRATIC FIT | N_pts=30 | Dim=5 | Cond=4.10e+01 | CoeffNorm=0.04 | NoiseVar=1.48e-05 | Y_range=3.64e-02
QUADRATIC FIT | N_pts=33 | Dim=5 | Cond=5.55e+01 | CoeffNorm=0.29 | NoiseVar=8.14e-04 | Y_range=1.65e-01
QUADRATIC FIT | N_pts=30 | Dim=5 | Cond=4.10e+01 | CoeffNorm=0.04 | NoiseVar=1.48e-05 | Y_range=3.64e-02
QUADRATIC FIT | N_pts=34 | Dim=5 | Cond=5.74e+01 | CoeffNorm=0.29 | NoiseVar=7.89e-04 | Y_range=1.65e-01
QUADRATIC FIT | N_pts=31 | Dim=5 | Cond=3.99e+01 | CoeffNorm=0.04 | NoiseVar=1.46e-05 | Y_range=3.64e-02
QUADRATIC FIT | N_pts=34 | Dim=5 | Cond=5.74e+01 | CoeffNorm=0.29 | NoiseVar=7.89e-04 | Y_range=1.65e-01
QUADRATIC FIT | N_pts=31 | Dim=5 | Cond=3.99e+01 | CoeffNorm=0.04 | NoiseVar=1.46e-05 | Y_range=3.64e-02
QUADRATIC FIT | N_pts=32 | Dim=5 | Cond=3.98e+01 | CoeffNorm=0.04 | NoiseVar=1.44e-05 | Y_range=3.64e-02
QUADRATIC FIT | N_pts=34 | Dim=5 | Cond=5.74e+01 | CoeffNorm=0.29 | NoiseVar=7.89e-04 | Y_range=1.65e-01
QUADRATIC FIT | N_pts=32 | Dim=5 | Cond=3.98e+01 | CoeffNorm=0.04 | NoiseVar=1.44e-05 | Y_range=3.64e-02
QUADRATIC FIT | N_pts=35 | Dim=5 | Cond=5.93e+01 | CoeffNorm=0.30 | NoiseVar=7.67e-04 | Y_range=1.65e-01
QUADRATIC FIT | N_pts=35 | Dim=5 | Cond=5.93e+01 | CoeffNorm=0.30 | NoiseVar=7.67e-04 | Y_range=1.65e-01
QUADRATIC FIT | N_pts=32 | Dim=5 | Cond=3.98e+01 | CoeffNorm=0.04 | NoiseVar=1.44e-05 | Y_range=3.64e-02
QUADRATIC FIT | N_pts=26 | Dim=5 | Cond=3.06e+01 | CoeffNorm=0.31 | NoiseVar=1.00e-03 | Y_range=2.82e-01
QUADRATIC FIT | N_pts=35 | Dim=5 | Cond=5.93e+01 | CoeffNorm=0.30 | NoiseVar=7.67e-04 | Y_range=1.65e-01
QUADRATIC FIT | N_pts=26 | Dim=5 | Cond=3.06e+01 | CoeffNorm=0.31 | NoiseVar=1.00e-03 | Y_range=2.82e-01
QUADRATIC FIT | N_pts=32 | Dim=5 | Cond=3.98e+01 | CoeffNorm=0.04 | NoiseVar=1.44e-05 | Y_range=3.64e-02
QUADRATIC FIT | N_pts=33 | Dim=5 | Cond=3.71e+01 | CoeffNorm=0.04 | NoiseVar=1.41e-05 | Y_range=3.64e-02
QUADRATIC FIT | N_pts=34 | Dim=5 | Cond=3.92e+01 | CoeffNorm=0.04 | NoiseVar=1.40e-05 | Y_range=3.64e-02
QUADRATIC FIT | N_pts=35 | Dim=5 | Cond=5.93e+01 | CoeffNorm=0.30 | NoiseVar=7.67e-04 | Y_range=1.65e-01
QUADRATIC FIT | N_pts=26 | Dim=5 | Cond=3.06e+01 | CoeffNorm=0.31 | NoiseVar=1.00e-03 | Y_range=2.82e-01
QUADRATIC FIT | N_pts=34 | Dim=5 | Cond=3.92e+01 | CoeffNorm=0.04 | NoiseVar=1.40e-05 | Y_range=3.64e-02
QUADRATIC FIT | N_pts=35 | Dim=5 | Cond=4.09e+01 | CoeffNorm=0.04 | NoiseVar=1.39e-05 | Y_range=3.64e-02
QUADRATIC FIT | N_pts=36 | Dim=5 | Cond=4.06e+01 | CoeffNorm=0.04 | NoiseVar=1.36e-05 | Y_range=3.64e-02
QUADRATIC FIT | N_pts=37 | Dim=5 | Cond=4.25e+01 | CoeffNorm=0.04 | NoiseVar=1.34e-05 | Y_range=3.64e-02
QUADRATIC FIT | N_pts=35 | Dim=5 | Cond=5.93e+01 | CoeffNorm=0.30 | NoiseVar=7.67e-04 | Y_range=1.65e-01
QUADRATIC FIT | N_pts=26 | Dim=5 | Cond=3.06e+01 | CoeffNorm=0.31 | NoiseVar=1.00e-03 | Y_range=2.82e-01
QUADRATIC FIT | N_pts=37 | Dim=5 | Cond=4.25e+01 | CoeffNorm=0.04 | NoiseVar=1.34e-05 | Y_range=3.64e-02
QUADRATIC FIT | N_pts=38 | Dim=5 | Cond=4.38e+01 | CoeffNorm=0.04 | NoiseVar=1.33e-05 | Y_range=3.64e-02
QUADRATIC FIT | N_pts=39 | Dim=5 | Cond=4.64e+01 | CoeffNorm=0.04 | NoiseVar=1.33e-05 | Y_range=3.64e-02
QUADRATIC FIT | N_pts=40 | Dim=5 | Cond=4.82e+01 | CoeffNorm=0.04 | NoiseVar=1.33e-05 | Y_range=3.64e-02
QUADRATIC FIT | N_pts=35 | Dim=5 | Cond=5.93e+01 | CoeffNorm=0.30 | NoiseVar=7.67e-04 | Y_range=1.65e-01
QUADRATIC FIT | N_pts=26 | Dim=5 | Cond=3.06e+01 | CoeffNorm=0.31 | NoiseVar=1.00e-03 | Y_range=2.82e-01
QUADRATIC FIT | N_pts=40 | Dim=5 | Cond=4.82e+01 | CoeffNorm=0.04 | NoiseVar=1.33e-05 | Y_range=3.64e-02
QUADRATIC FIT | N_pts=41 | Dim=5 | Cond=5.02e+01 | CoeffNorm=0.04 | NoiseVar=1.32e-05 | Y_range=3.64e-02
QUADRATIC FIT | N_pts=42 | Dim=5 | Cond=5.21e+01 | CoeffNorm=0.04 | NoiseVar=1.31e-05 | Y_range=3.64e-02
QUADRATIC FIT | N_pts=35 | Dim=5 | Cond=5.93e+01 | CoeffNorm=0.30 | NoiseVar=7.67e-04 | Y_range=1.65e-01
QUADRATIC FIT | N_pts=26 | Dim=5 | Cond=3.06e+01 | CoeffNorm=0.31 | NoiseVar=1.00e-03 | Y_range=2.82e-01
QUADRATIC FIT | N_pts=42 | Dim=5 | Cond=5.21e+01 | CoeffNorm=0.04 | NoiseVar=1.31e-05 | Y_range=3.64e-02
QUADRATIC FIT | N_pts=43 | Dim=5 | Cond=5.37e+01 | CoeffNorm=0.04 | NoiseVar=1.29e-05 | Y_range=3.64e-02
QUADRATIC FIT | N_pts=35 | Dim=5 | Cond=5.93e+01 | CoeffNorm=0.30 | NoiseVar=7.67e-04 | Y_range=1.65e-01
QUADRATIC FIT | N_pts=26 | Dim=5 | Cond=3.06e+01 | CoeffNorm=0.31 | NoiseVar=1.00e-03 | Y_range=2.82e-01
